Nome;Categoria;Area de Avaliação;Area Basica;Situacao;Modalidade;Mestrado;Doutorado;Mestrado Profissional
32005016070P4;ADMINISTRAÇÃO;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO;EM FUNCIONAMENTO;Aca.;3;-;-
53045009001P3;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;ADMINISTRAÇÃO PÚBLICA;EM FUNCIONAMENTO;Prof.;-;-;3
32005016029P4;Ambiente Construído;ARQUITETURA, URBANISMO E DESIGN;ARQUITETURA E URBANISMO;EM FUNCIONAMENTO;Aca.;3;-;-
32005016038P3;ARTES, CULTURA E LINGUAGENS;ARTES;ARTES;EM FUNCIONAMENTO;Aca.;4;-;-
30001013105P1;ASTROFÍSICA, COSMOLOGIA E GRAVITAÇÃO;ASTRONOMIA / FÍSICA;ASTRONOMIA;EM FUNCIONAMENTO;Aca.;-;5;-
32005016034P8;Ciência da Computação;CIÊNCIA DA COMPUTAÇÃO;CIÊNCIA DA COMPUTAÇÃO;EM FUNCIONAMENTO;Aca.;3;-;-
32005016004P1;CIÊNCIA DA RELIGIÃO;CIÊNCIAS DA RELIGIÃO E TEOLOGIA;TEOLOGIA;EM FUNCIONAMENTO;Aca.;5;5;-
32005016028P8;CIÊNCIA E TECNOLOGIA DO LEITE E DERIVADOS;CIÊNCIA DE ALIMENTOS;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;EM FUNCIONAMENTO;Prof.;-;-;4
32005016015P3;CIÊNCIAS BIOLÓGICAS;CIÊNCIAS BIOLÓGICAS I;BIOLOGIA GERAL;EM FUNCIONAMENTO;Aca.;4;4;-
32005016003P5;CIÊNCIAS BIOLÓGICAS (ZOOLOGIA);BIODIVERSIDADE;ZOOLOGIA;EM FUNCIONAMENTO;Aca.;4;4;-
32005016071P0;CIÊNCIAS DA REABILITAÇÃO E DESEMPENHO FÍSICO-FUNCIONAL;EDUCAÇÃO FÍSICA;FISIOTERAPIA E TERAPIA OCUPACIONAL;EM FUNCIONAMENTO;Aca.;3;-;-
32005016032P5;CIÊNCIAS FARMACÊUTICAS;FARMÁCIA;FARMÁCIA;EM FUNCIONAMENTO;Aca.;4;-;-
32005016011P8;CIÊNCIAS SOCIAIS;SOCIOLOGIA;SOCIOLOGIA;EM FUNCIONAMENTO;Aca.;4;4;-
32005016018P2;CLÍNICA ODONTOLÓGICA;ODONTOLOGIA;ODONTOLOGIA;EM FUNCIONAMENTO;Aca.;4;-;-
32005016019P9;COMUNICAÇÃO;COMUNICAÇÃO E INFORMAÇÃO;COMUNICAÇÃO;EM FUNCIONAMENTO;Aca.;4;-;-
32005016036P0;Direito e Inovação;DIREITO;DIREITO;EM FUNCIONAMENTO;Aca.;3;-;-
32005016012P4;ECOLOGIA;BIODIVERSIDADE;ECOLOGIA;EM FUNCIONAMENTO;Aca.;4;4;-
32005016016P0;ECONOMIA;ECONOMIA;ECONOMIA;EM FUNCIONAMENTO;Aca.;4;4;-
32005016007P0;EDUCAÇÃO;EDUCAÇÃO;EDUCAÇÃO;EM FUNCIONAMENTO;Aca.;4;4;-
32002017034P9;EDUCAÇÃO FÍSICA;EDUCAÇÃO FÍSICA;EDUCAÇÃO FÍSICA;EM FUNCIONAMENTO;Aca.;5;5;-
32005016027P1;EDUCAÇÃO MATEMÁTICA;ENSINO;ENSINO DE CIÊNCIAS E MATEMÁTICA;EM FUNCIONAMENTO;Prof.;-;-;4
32005016033P1;Enfermagem;ENFERMAGEM;ENFERMAGEM;EM FUNCIONAMENTO;Aca.;3;-;-
32005016106P9;ENGENHARIA CIVIL;ENGENHARIAS I;ENGENHARIA CIVIL;EM FUNCIONAMENTO;Aca.;3;-;-
32005016005P8;ENGENHARIA ELÉTRICA;ENGENHARIAS IV;ENGENHARIA ELÉTRICA;EM FUNCIONAMENTO;Aca.;5;5;-
33283010001P5;Ensino de Física - PROFIS;ASTRONOMIA / FÍSICA;FÍSICA;EM FUNCIONAMENTO;Prof.;-;-;4
32005016001P2;FILOSOFIA;FILOSOFIA;FILOSOFIA;DESATIVADO;Aca.;-;-;-
32005016107P5;FILOSOFIA;FILOSOFIA;FILOSOFIA;EM FUNCIONAMENTO;Aca.;3;-;-
32005016008P7;FÍSICA;ASTRONOMIA / FÍSICA;FÍSICA;EM FUNCIONAMENTO;Aca.;4;4;-
32005016023P6;FÍSICA - UFV;ASTRONOMIA / FÍSICA;FÍSICA;EM DESATIVACAO;Aca.;-;4;-
32005016035P4;GEOGRAFIA;GEOGRAFIA;GEOGRAFIA;EM FUNCIONAMENTO;Aca.;4;-;-
32005016031P9;Gestão e Avaliação da Educação Pública;EDUCAÇÃO;EDUCAÇÃO;EM FUNCIONAMENTO;Prof.;-;-;4
32005016010P1;HISTÓRIA;HISTÓRIA;HISTÓRIA;EM FUNCIONAMENTO;Aca.;5;5;-
32005016002P9;LETRAS;LINGUíSTICA E LITERATURA;LETRAS;DESATIVADO;Aca.;-;-;-
23001011069P5;LETRAS;LINGUíSTICA E LITERATURA;LÍNGUA PORTUGUESA;EM FUNCIONAMENTO;Prof.;-;-;4
32005016020P7;LETRAS: ESTUDOS LITERÁRIOS;LINGUíSTICA E LITERATURA;LETRAS;EM FUNCIONAMENTO;Aca.;4;4;-
32005016022P0;LINGÜÍSTICA;LINGUíSTICA E LITERATURA;LINGÜÍSTICA;EM FUNCIONAMENTO;Aca.;4;4;-
32005016030P2;MATEMÁTICA;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA;MATEMÁTICA;EM FUNCIONAMENTO;Aca.;3;-;-
31075010001P2;Matemática em Rede Nacional;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA;MATEMÁTICA;EM FUNCIONAMENTO;Prof.;-;-;5
32005016017P6;MODELAGEM COMPUTACIONAL;INTERDISCIPLINAR;ENGENHARIA/TECNOLOGIA/GESTÃO;EM FUNCIONAMENTO;Aca.;4;4;-
33287015001P7;Multicêntrico em Bioquímica e Biologia Molecular;CIÊNCIAS BIOLÓGICAS II;BIOLOGIA MOLECULAR;EM FUNCIONAMENTO;Aca.;4;4;-
32005016039P0;Multicêntrico em Química de Minas Gerais;QUÍMICA;QUÍMICA;EM FUNCIONAMENTO;Aca.;4;4;-
32001010175P5;PROFBIO ENSINO DE BIOLOGIA EM REDE NACIONAL;CIÊNCIAS BIOLÓGICAS I;BIOLOGIA GERAL;EM FUNCIONAMENTO;Prof.;-;-;4
32005016025P9;PSICOLOGIA;PSICOLOGIA;PSICOLOGIA;EM FUNCIONAMENTO;Aca.;5;5;-
32005016009P3;QUÍMICA;QUÍMICA;QUÍMICA;EM FUNCIONAMENTO;Aca.;5;5;-
32005016014P7;SAÚDE;MEDICINA I;CLÍNICA MÉDICA;EM FUNCIONAMENTO;Aca.;5;5;-
32005016021P3;SAÚDE COLETIVA;SAÚDE COLETIVA;SAÚDE COLETIVA;EM FUNCIONAMENTO;Aca.;4;4;-
33303002001P9;Saúde da Família;SAÚDE COLETIVA;SAÚDE COLETIVA;EM FUNCIONAMENTO;Prof.;-;-;3
32005016013P0;SERVIÇO SOCIAL;SERVIÇO SOCIAL;SERVIÇO SOCIAL;EM FUNCIONAMENTO;Aca.;4;-;-
